iter	Passed	Remaining
0	1	103
1	2	99
2	2	92
3	3	84
4	4	83
5	5	81
6	6	80
7	6	79
8	7	78
9	8	77
10	9	76
11	10	74
12	10	73
13	11	72
14	12	71
15	13	70
16	14	69
17	15	68
18	15	67
19	16	67
20	17	67
21	18	66
22	19	65
23	20	65
24	21	64
25	22	63
26	23	62
27	24	61
28	24	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	56
34	30	56
35	31	55
36	32	54
37	33	54
38	34	53
39	35	52
40	36	52
41	36	50
42	37	49
43	38	48
44	39	47
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	48	39
55	49	39
56	50	38
57	51	37
58	52	36
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	73	21
77	74	20
78	75	20
79	76	19
80	77	18
81	78	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	92	6
93	93	5
94	94	4
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
