iter	Passed	Remaining
0	144	144648
1	146	72972
2	147	48948
3	148	36943
4	149	29778
5	150	24978
6	152	21590
7	153	19009
8	154	16998
9	155	15368
10	156	14074
11	157	12976
12	159	12082
13	160	11278
14	160	10570
15	161	9944
16	163	9431
17	163	8940
18	165	8547
19	166	8151
20	167	7794
21	168	7479
22	169	7193
23	170	6929
24	171	6684
25	172	6467
26	173	6257
27	174	6060
28	175	5880
29	176	5712
30	177	5546
31	178	5397
32	179	5250
33	180	5124
34	181	5001
35	182	4883
36	183	4766
37	183	4655
38	184	4546
39	185	4444
40	185	4348
41	186	4256
42	187	4166
43	187	4080
44	188	3999
45	189	3924
46	189	3849
47	190	3778
48	191	3710
49	192	3648
50	192	3586
51	193	3524
52	193	3463
53	194	3409
54	195	3359
55	196	3308
56	196	3255
57	197	3205
58	197	3156
59	198	3109
60	199	3066
61	199	3022
62	200	2981
63	201	2943
64	201	2904
65	202	2866
66	203	2827
67	203	2790
68	204	2753
69	204	2718
70	205	2685
71	205	2653
72	206	2624
73	207	2593
74	207	2563
75	208	2534
76	209	2506
77	210	2484
78	211	2459
79	211	2435
80	212	2409
81	212	2384
82	213	2355
83	213	2330
84	214	2306
85	214	2282
86	215	2259
87	215	2236
88	216	2215
89	216	2194
90	217	2173
91	218	2152
92	218	2131
93	219	2111
94	219	2095
95	220	2076
96	221	2057
97	221	2040
98	222	2022
99	222	2004
100	223	1987
101	223	1969
102	224	1952
103	225	1940
104	226	1928
105	226	1914
106	227	1899
107	228	1884
108	228	1869
109	229	1854
110	229	1840
111	230	1825
112	230	1811
113	231	1797
114	231	1783
115	232	1770
116	232	1756
117	233	1742
118	233	1730
119	234	1718
120	235	1707
121	235	1695
122	236	1684
123	237	1674
124	237	1663
125	238	1651
126	238	1640
127	239	1630
128	240	1622
129	241	1615
130	242	1605
131	242	1595
132	243	1585
133	243	1576
134	244	1567
135	245	1557
136	245	1547
137	246	1537
138	246	1528
139	247	1518
140	247	1509
141	248	1499
142	248	1490
143	249	1481
144	249	1473
145	250	1464
146	251	1456
147	251	1448
148	252	1439
149	252	1431
